timestamp,gps_altitude,altimeter_1_altitude,altimeter_2_altitude,ok1,ok2,estimatedHeight
162,45.666,0,0,0,0,0
163,45.6659,0,0,0,0,0
164,45.6659,0,0,0,0,0
165,45.6716,0,0,0,0,0
166,45.6714,0,0,0,0,0
167,45.6715,0,0,0,0,0
168,45.6715,0,0,0,0,0
169,45.6715,0,0,0,0,0
170,45.6715,0,0,0,0,0
171,45.6715,0,0,0,0,0
172,45.6716,0,0,0,0,0
173,45.6715,0,0,0,0,0
174,45.6716,0,0,0,0,0
175,45.6714,0,0,0,0,0
176,45.6638,0,0,0,0,0
177,45.6638,0,0,0,0,0
178,45.6638,0,0,0,0,0
179,45.6639,0,0,0,0,0
180,45.6638,0,0,0,0,0
181,45.6638,0,0,0,0,0
182,45.6639,0,0,0,0,0
183,45.6639,0,0,0,0,0
184,45.6638,0,0,0,0,0
185,45.6638,0,0,0,0,0
186,45.6638,0,0,0,0,0
187,45.6637,0,0,0,0,0
188,45.6637,0,0,0,0,0
189,45.6638,0,0,0,0,0
190,45.6637,0,0,0,0,0
191,45.6637,0,0,0,0,0
192,45.6637,0,0,0,0,0
193,45.6637,0,0,0,0,0
194,45.6637,0,0,0,0,0
195,45.6635,0,0,0,0,0
196,45.6574,0,0,0,0,0
197,45.6673,0,0,0,0,0
198,45.6673,0,0,0,0,0
199,45.6673,0,0,0,0,0
200,45.6673,0,0,0,0,0
201,45.6674,0,0,0,0,0
202,45.6674,0,0,0,0,0
203,45.6673,0,0,0,0,0
204,45.6673,0,0,0,0,0
205,45.6673,0,0,0,0,0
206,45.6673,0,0,0,0,0
207,45.6672,0,0,0,0,0
208,45.6769,0,0,0,0,0
209,45.677,0,0,0,0,0
210,45.677,0,0,0,0,0
211,45.6771,0,0,0,0,0
212,45.6771,0,0,0,0,0
213,45.677,0,0,0,0,0
214,45.677,0,0,0,0,0
215,45.6769,0,0,0,0,0
216,45.665,0,0,0,0,0
217,45.6651,0,0,0,0,0
218,45.6749,0,0,0,0,0
219,45.6748,0,0,0,0,0
220,45.6748,0,0,0,0,0
221,45.6748,0,0,0,0,0
222,45.6748,0,0,0,0,0
223,45.6748,0,0,0,0,0
224,45.6749,0,0,0,0,0
225,45.6749,0,0,0,0,0
226,45.6748,0,0,0,0,0
227,45.6749,0,0,0,0,0
228,45.6748,0,0,0,0,0
229,45.6713,0,0,0,0,0
230,45.6714,0,0,0,0,0
231,45.6715,0,0,0,0,0
232,45.6714,0,0,0,0,0
233,45.6714,0,0,0,0,0
234,45.6714,0,0,0,0,0
235,45.6713,0,0,0,0,0
236,45.6594,0,0,0,0,0
237,45.6595,0,0,0,0,0
238,45.6595,0,0,0,0,0
239,45.6692,0,0,0,0,0
240,45.6693,0,0,0,0,0
241,45.6692,0,0,0,0,0
242,45.6692,0,0,0,0,0
243,45.6692,0,0,0,0,0
