timestamp,gps_altitude,altimeter_1_altitude,altimeter_2_altitude,ok1,ok2,rateAlt1,rateAlt2,prevalt1,prevalt2,estimatedHeight
0.0000000000,217.3690188546,65.5422592000,64.7535000000,1,1,nan,nan,nan,nan,65.1478796000
1.0000000000,217.3406983772,65.5727000000,64.5429764000,1,1,3.0440800000,21.0523600000,65.5422592000,64.7535000000,65.1472514695
2.0000000000,217.3122882918,68.0665894000,64.8990555000,0,0,249.3889400000,35.6079100000,65.5727000000,64.5429764000,65.1460677000
3.0000000000,217.2838756563,68.0957870000,64.8209610000,0,1,252.7353323000,27.1953687000,65.5684336770,64.5490073130,65.1441006637
4.0000000000,217.2554237572,68.1271133000,64.7159000000,0,1,256.2922953133,10.5061000000,65.5641903469,64.8209610000,65.1413005662
5.0000000000,217.2269346332,66.2648926000,64.6164551000,0,1,70.4931150940,9.9444900000,65.5599614491,64.7159000000,65.1376275366
6.0000000000,217.2034573471,71.2449646000,64.8794861000,0,1,568.9226490064,26.3031000000,65.5557381099,64.6164551000,65.1335037362
7.0000000000,217.1749625886,71.2713699000,64.6623535000,0,1,571.9854133801,21.7132600000,65.5515157662,64.8794861000,65.1286519274
8.0000000000,217.1464492762,68.2952000000,64.5691452000,0,1,274.7912872189,9.3208300000,65.5472871278,64.6623535000,65.1230336337
9.0000000000,217.1178786382,69.1297760000,64.6492844000,0,1,358.6731407130,8.0139200000,65.5430445929,64.5691452000,65.1167864109
10.0000000000,217.0893567465,69.1633682000,64.7966461000,0,1,362.4586188949,14.7361700000,65.5387820111,64.6492844000,65.1101081903
11.0000000000,217.0607999396,66.9728699000,64.7308197000,0,1,143.8374627157,6.5826400000,65.5344952728,64.7966461000,65.1029688990
12.0000000000,217.0323340641,64.1718445000,64.5972672000,0,1,135.8335509105,13.3552500000,65.5301800091,64.7308197000,65.0952756655
13.0000000000,217.0038242983,66.1758270000,64.4445953000,0,1,64.9996034331,15.2671900000,65.5258309657,64.5972672000,65.0869208992
14.0000000000,216.9753795229,69.3411000000,64.6385345000,0,1,381.9658134996,19.3939200000,65.5214418650,64.4445953000,65.0781537747
15.0000000000,216.9469140489,68.0294876000,64.4481125000,0,1,251.2478615899,19.0422000000,65.5170089841,64.6385345000,65.0688206964
16.0000000000,216.9185620928,68.0588379000,64.4759369000,0,1,254.6310798776,2.7824400000,65.5125271012,64.4481125000,65.0590000296
17.0000000000,216.8724176139,69.3337555000,64.4902267000,0,1,382.5763669492,1.4289800000,65.5079918305,64.4759369000,65.0484114704
18.0000000000,216.8441197174,64.2744904000,64.5652237000,0,1,122.8905626907,7.4997000000,65.5033960269,64.4902267000,65.0375326739
19.0000000000,216.8157991394,70.7765045000,64.3779000000,0,1,527.7767106623,18.7323700000,65.4987373934,64.5652237000,65.0262067908
20.0000000000,216.7875533784,68.3902664000,64.5689545000,0,1,289.6254312648,19.1054500000,65.4940120874,64.3779000000,65.0146684719
21.0000000000,216.7593470095,68.4194336000,64.3927536000,0,1,293.0214948803,17.6200900000,65.4892186512,64.5689545000,65.0027684610
22.0000000000,216.7311679646,65.0487518000,64.3110504000,0,1,43.5602349295,8.1703200000,65.4843541493,64.3927536000,64.9904624310
23.0000000000,216.7030761186,63.9317093000,64.3978424000,0,1,154.7705932112,8.6792000000,65.4794152321,64.3110504000,64.9778791520
24.0000000000,216.6750090569,65.2469559000,64.2852325000,1,1,22.7443971311,11.2609900000,65.4743998713,64.3978424000,64.9654190601
25.0000000000,216.6470283251,69.7279816000,64.2660828000,0,1,448.1025700000,1.9149700000,65.2469559000,64.2852325000,64.9525877444
26.0000000000,216.6190403905,67.2928314000,64.1526000000,0,1,204.8819181556,11.3482800000,65.2440122184,64.2660828000,64.9393100309
27.0000000000,216.5977822179,70.2611000000,64.1820526000,0,1,502.0134803432,2.9452600000,65.2409651966,64.1526000000,64.9257873170
28.0000000000,216.5699034967,66.8894348000,64.3110504000,0,1,165.1621382227,12.8997800000,65.2378134178,64.1820526000,64.9120532377
29.0000000000,216.5421470106,67.8830490000,64.2717133000,0,1,264.8493184028,3.9337100000,65.2345558160,64.3110504000,64.8980990967
30.0000000000,216.5143806832,68.6659622000,64.2257156000,0,1,343.4770951220,4.5997700000,65.2311912488,64.2717133000,64.8839078478
31.0000000000,216.4867033456,67.9555206000,64.1660538000,0,1,272.7802185230,5.9661800000,65.2277184148,64.2257156000,64.8694520715
32.0000000000,216.4590112250,66.5562439000,64.2369614000,0,1,133.2108148663,7.0907600000,65.2241357513,64.1660538000,64.8548351028
33.0000000000,216.4314001612,67.9576645000,64.1848831000,0,1,273.7221755148,5.2078300000,65.2204427449,64.2369614000,64.8400321428
34.0000000000,216.4037755327,69.4630890000,64.1774750000,0,1,424.6450361169,0.7408100000,65.2166386388,64.1848831000,64.8250631619
35.0000000000,216.3762232224,66.1720200000,64.0160217000,0,1,95.9297115938,16.1453300000,65.2127228841,64.1774750000,64.8097945054
36.0000000000,216.3486296302,69.3276215000,64.1553574000,0,1,411.8927899725,13.9335700000,65.2086936003,64.0160217000,64.7944006707
37.0000000000,216.2995391693,66.9502563000,64.0703659000,0,1,174.5705629020,8.4991500000,65.2045506710,64.1553574000,64.7784122572
38.0000000000,216.2764548725,70.8206558000,64.1604919000,0,1,562.0366513158,9.0126000000,65.2002892868,64.0703659000,64.7624705222
39.0000000000,216.2490221225,67.3455124000,64.0339508000,0,1,214.9601300805,12.6541100000,65.1959110992,64.1604919000,64.7463790249
40.0000000000,216.2216244005,67.9247894000,64.0453796000,0,1,273.3373621548,1.1428800000,65.1914157785,64.0339508000,64.7301762848
41.0000000000,216.1942422483,67.9431915000,64.0138702000,0,1,275.6388116484,3.1509400000,65.1868033835,64.0453796000,64.7138549668
42.0000000000,216.1669370234,67.9652100000,64.0541763000,0,1,278.3136100651,4.0306100000,65.1820738993,64.0138702000,64.6974813418
43.0000000000,216.1396100065,67.0234000000,64.0111771000,0,1,184.6172026227,4.2999200000,65.1772279738,64.0541763000,64.6810319794
